ResponseId,PROLIFIC_PID,State,UpperMidwest,D_parkfreq,D_posterbuyer,D_parkfreq_posterbuyer,D_parkfreq_posterbuyer_uppermidwest,Q1_park_usage,Q1_n_park_usage,Q2_park_activities_1,Q2_n_park_activities_1,Q2_park_activities_2,Q2_n_park_activities_2,Q2_park_activities_3,Q2_n_park_activities_3,Q2_park_activities_4,Q2_n_park_activities_4,Q2_park_activities_5,Q2_n_park_activities_5,Q2_park_activities_6,Q2_n_park_activities_6,Q2_park_activities_7,Q2_n_park_activities_7,Q2_park_activities_8,Q2_n_park_activities_8,Q2_park_activities_9,Q2_n_park_activities_9,Q3_buy_local_apparel,Q3_n_buy_local_apparel,Q4_buy_local_brands,Q4_n_buy_local_brands,Q5_buy_posters,Q5_n_buy_posters,Q6_drink_alcohol,Q6_n_drink_alcohol,Q7_drink_coffee_tea,Q7_n_drink_coffee_tea,Q8_brand_loyalty,Q8_n_brand_loyalty
R_DObl2Niv7desVRn,6101a61c7028ef118b714841,IL,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,More than once per week,6,More than once per week,6,Highly loyal,1
R_9SJxigKcvpQ7s1r,60fd80b85dd6b22f66d16822,IN,0,0 ,0 ,0 ,0 ,Several times per month,4,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Several times per month,4,More than once per week,6,Somewhat loyal,2
R_1BPBtndzJPu5dPC,6150aa2078df803c3eef0d6d,ND,1,0 ,0 ,0 ,0 ,Several times per month,4,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_1KkUVkD7URvXSY8,5f2883986944881b2003c132,OH,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,About once per month,3,More than once per week,6,Depends upon the product/service,4
R_qwGoFjrjCmt8k5r,615161dba3804d126e73d85d,IL,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per month,3,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_PwBNp85wIM0HLoZ,6109e17228f051ac8d0f3205,KS,0,0 ,0 ,0 ,0 ,Never,1,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,1,Somewhere to go before or after a meal at a local restaurant,1,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Several times per month,4,Several times per month,4,Somewhat loyal,2
R_3iU036Te0jXwX8I,60db790e6a3f598de0190e28,IL,0,0 ,1 ,0 ,0 ,About once per month,3,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Once in a few months or longer,2,1 per year,2,About once per month,3,Never,1,Somewhat loyal,2
R_1plZPrWeSh7OPuW,59a88f5b321f870001d16d68,MI,1,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Several times per month,4,Never,1,Not loyal,3
R_2B5RbhmgumDTNTB,60fccc2c096c38cc9ad63ff3,IL,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Never,1,Never,1,About once per month,3,More than once per week,6,Highly loyal,1
R_0lHbZvtvqhmnTFv,6156fa2309fd32e6b7d11075,IL,0,0 ,0 ,0 ,0 ,About once per month,3,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
