response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_DObl2Niv7desVRn,6101a61c7028ef118b714841,0,0,0,0,0,1,0,0,0,0,2,3,1,6,6,1
R_9SJxigKcvpQ7s1r,60fd80b85dd6b22f66d16822,1,0,0,0,0,1,0,0,0,0,2,2,1,4,6,2
R_1BPBtndzJPu5dPC,6150aa2078df803c3eef0d6d,1,1,0,0,0,0,0,0,0,0,1,3,1,2,6,2
R_1KkUVkD7URvXSY8,5f2883986944881b2003c132,0,1,1,0,0,0,0,1,0,0,1,3,1,3,6,4
R_qwGoFjrjCmt8k5r,615161dba3804d126e73d85d,0,1,0,0,1,1,0,0,0,0,2,3,1,2,6,2
R_PwBNp85wIM0HLoZ,6109e17228f051ac8d0f3205,0,1,0,0,0,1,1,1,0,0,2,2,1,4,4,2
R_3iU036Te0jXwX8I,60db790e6a3f598de0190e28,0,1,1,0,0,1,0,0,0,0,1,2,2,3,1,2
R_1plZPrWeSh7OPuW,59a88f5b321f870001d16d68,1,1,1,0,0,1,0,0,1,0,2,2,1,4,1,3
R_2B5RbhmgumDTNTB,60fccc2c096c38cc9ad63ff3,0,1,1,0,0,1,0,0,0,0,1,1,1,3,6,1
R_0lHbZvtvqhmnTFv,6156fa2309fd32e6b7d11075,0,0,0,0,0,1,0,0,0,0,2,2,1,2,6,2
R_XKRazYSK2O2xKdX,5c7070519f9392000150023c,0,1,0,0,0,1,0,0,0,0,1,3,1,1,6,2
R_25tP9jreko7iHGb,60fc5e06147233cbaf0d59e8,0,1,0,0,0,1,0,0,0,0,2,2,3,1,4,2
R_DVpX867lHv4RnJT,60fcec5f448d6d34a22bcafb,1,1,0,0,0,1,0,1,0,0,2,5,1,1,6,1
R_31bgKfmliDzltUw,60dbf6f5a1694ed71ee0fd7f,0,1,0,0,0,1,0,0,0,0,1,3,1,2,2,4
R_3KSzocKUm0pkKzh,60bec98ec93bac9b5a1d1786,1,1,0,0,0,0,0,0,0,0,2,2,1,2,6,4
R_3EaK5RyQoJIBQ5w,5f1703a31ea06d025b729ad9,0,1,0,0,0,0,0,0,0,0,2,4,1,1,5,2
R_2ykAtZ3c260HAqZ,60193321d10f4e02eed1ccf2,0,1,0,0,0,0,0,1,1,0,4,4,1,2,6,2
R_25FTKrnASLbwzmM,61247491151682b679e31db0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,6,2
R_1injemG22AlATW6,611319d711690a0a7059c63b,0,1,1,0,0,1,1,1,1,0,2,3,2,6,6,2
R_10BgbxXPHOxAKe2,6111a51d55bcdc127d626390,0,0,1,0,0,1,0,0,0,0,1,1,1,2,3,3
R_8df5MefGPoTFIfT,610ca88b5792d4c4eb2e98e1,0,0,0,0,1,1,0,0,0,0,2,2,1,1,4,2
R_2OHJUmidntUs0oU,60ad9bb50498f3a88f8f4c4f,0,0,0,0,0,0,0,0,0,1,2,3,1,1,6,4
R_3gS1rRGXASuNLWS,5e6bba5459a3bd17473d4d6a,0,1,0,0,0,0,0,0,0,0,2,2,3,3,6,2
R_31WXuEEIZUBkmnr,6151d31b87f9d831c3c3993b,0,0,1,0,0,1,0,0,0,0,2,6,1,5,1,1
R_2t7L9K5yd06A3Vn,581fce42429ef50001ac4fc1,1,1,0,0,0,0,0,0,0,0,3,2,3,3,4,4
R_1HkvwZPNUr3Zn7Z,600673836848dc9fb0e79785,1,1,1,0,0,0,0,0,0,0,2,2,1,4,6,4
R_1Nbu6pMz5d878H3,6100b94f1750b9db274684c7,0,0,0,0,1,1,0,0,0,0,2,2,1,4,5,1
R_1F2pjvXzS0r6K6M,612855e8ed6080b01a10ed54,0,1,0,0,0,0,0,1,1,0,2,3,2,2,6,4
R_32RNQqExhTabNSe,610ad9de7928e140edf063f8,0,0,0,0,0,1,0,0,0,0,1,3,1,2,6,2
R_8vw1OAzoXvn4qMV,60b83826821417f8e484a207,1,1,0,0,0,1,1,1,1,0,2,2,1,3,6,2
R_ZsGSoxqET3TI2gp,58cefdb030c4cf0001ceb3ac,0,1,0,0,0,1,0,0,0,0,1,2,1,2,3,2
R_Z8cZPkLVPnRDdrX,614fff0ee955434ed89cdd6a,0,0,0,0,0,0,0,0,1,0,1,1,1,6,3,4
R_ZwaMxxLM3qqzqZX,5f1fc57dae86001f4dff12ee,0,0,0,0,0,1,0,0,0,0,3,3,1,1,6,2
R_3pnDv5C40MfYd3N,5d8d5cc4c83a770013213a84,0,1,0,0,0,0,0,0,0,0,1,3,1,2,6,4
R_1o5sAXjWbVs4t9I,61535bd45997429e396cd1ac,1,1,0,0,0,1,0,0,0,0,2,2,2,1,6,4
R_3O1dmRHWl6HB8BG,6024528e6a061e12eea449d3,0,0,0,0,0,1,0,0,0,0,1,2,1,6,6,4
R_2TmyLhVIAC2Gel2,5db9a46ff8e3f9000f88cb85,0,1,0,0,0,0,0,0,0,0,2,6,1,4,6,2
R_d7obymfmu4ptYEF,61520cb33cbe8939af2a11a6,0,1,0,0,0,1,0,0,0,0,2,2,2,4,6,4
R_2XnQwaQ1sc2Site,5f0144a4a28292298e381c49,1,1,0,0,0,1,0,0,0,0,2,3,1,1,2,4
R_5jVV6NJiyhVRF29,61494b2ba9fdd44794e4c5d3,1,1,0,0,0,0,0,0,0,0,2,3,1,1,6,2
R_2s1mgqAXFdMBjLl,570bc1ffb9b52b00102db939,0,1,0,0,0,1,0,0,0,0,1,1,1,4,6,4
R_VR90yR1SK0wwas1,60fe010f7d53d4e9cebf78a4,0,1,1,0,1,1,0,0,1,0,1,3,2,5,6,2
R_1LO3sCp4qtE8HEm,615dd68523c38ecff40b29b4,0,1,1,0,0,1,0,0,0,0,2,1,1,1,6,1
R_1ZJHchuj1GTdYB3,5d12e78f090507001aef72a4,0,0,0,0,0,0,0,0,0,1,1,3,1,2,6,2
R_248lUejoqXurKob,5f7639bad6756f0bd6fc91e7,1,1,0,0,0,1,0,0,1,0,4,3,3,6,6,2
R_1eJEBHILl9XQ7Em,60ebcdf8d320d7bec973d0f3,1,0,0,0,0,1,0,0,0,0,2,4,1,3,3,2
R_2X4hgtHrFoWLCr4,607ce9df61f8f44b9403edfc,0,1,0,0,0,1,0,0,0,0,2,3,1,1,4,4
R_3HM2GPRMk26QRJC,616f10014c04363731d398c0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,6,4
R_4IxQpiKb7dvhu81,5a6570bd31b87a0001c700dd,1,1,1,0,0,1,0,1,1,0,1,2,1,2,6,1
R_2Egc7eDVeYHMSx4,60fe01fbab0316f090acb6b9,1,0,0,0,1,1,0,1,1,0,3,4,3,4,4,2
