response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_DObl2Niv7desVRn,6101a61c7028ef118b714841,Once in a few months or longer,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per month,Never,More than once per week,More than once per week,Highly loyal
R_9SJxigKcvpQ7s1r,60fd80b85dd6b22f66d16822,Several times per month,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Several times per month,More than once per week,Somewhat loyal
R_1BPBtndzJPu5dPC,6150aa2078df803c3eef0d6d,Several times per month,Running/walking,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_1KkUVkD7URvXSY8,5f2883986944881b2003c132,Once in a few months or longer,Running/walking,Biking,Not selected,Not selected,Not selected,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Never,About once per month,Never,About once per month,More than once per week,Depends upon the product/service
R_qwGoFjrjCmt8k5r,615161dba3804d126e73d85d,About once per month,Running/walking,Not selected,Not selected,Playing team sports,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,About once per month,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_PwBNp85wIM0HLoZ,6109e17228f051ac8d0f3205,Never,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Several times per month,Several times per month,Somewhat loyal
R_3iU036Te0jXwX8I,60db790e6a3f598de0190e28,About once per month,Running/walking,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Once in a few months or longer,1 per year,About once per month,Never,Somewhat loyal
R_1plZPrWeSh7OPuW,59a88f5b321f870001d16d68,More than once per week,Running/walking,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Someplace to go while I drink my coffee,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Several times per month,Never,Not loyal
R_2B5RbhmgumDTNTB,60fccc2c096c38cc9ad63ff3,Once in a few months or longer,Running/walking,Biking,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,Never,Never,About once per month,More than once per week,Highly loyal
R_0lHbZvtvqhmnTFv,6156fa2309fd32e6b7d11075,About once per month,Not selected,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,Never,Once in a few months or longer,More than once per week,Somewhat loyal
R_XKRazYSK2O2xKdX,5c7070519f9392000150023c,About once per month,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Never,About once per month,Never,Never,More than once per week,Somewhat loyal
R_25tP9jreko7iHGb,60fc5e06147233cbaf0d59e8,Once in a few months or longer,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Not selected,Not selected,Not selected,Once in a few months or longer,Once in a few months or longer,2-3 per year,Never,Several times per month,Somewhat loyal
R_DVpX867lHv4RnJT,60fcec5f448d6d34a22bcafb,More than once per week,Running/walking,Not selected,Not selected,Not selected,Spending time with family/pets,Not selected,Somewhere to go before or after a meal at a local restaurant,Not selected,Not selected,Once in a few months or longer,About once per week,Never,Never,More than once per week,Highly loyal
